Alpha,NASA SC(2)-0412 T1_Re33.677_M0.22_N9.0, , Alpha,NPL 9510 T1_Re33.677_M0.22_N9.0, , Alpha,RAE 2822 T1_Re33.677_M0.22_N9.0, , Alpha,RAE(NPL) 5212 T1_Re33.677_M0.22_N9.0, , 
         -1.9,    0.04427876, ,          -2.4,   -0.03550372, ,          -2.1,   -0.01711567, ,            -2,    0.06711529, , 
         -1.8,    0.05679171, ,          -2.3,   -0.02330796, ,            -2,  -0.006049853, ,          -1.9,    0.07827445, , 
         -1.7,    0.06935154, ,          -2.2,   -0.01090588, ,          -1.8,     0.0164372, ,          -1.8,      0.089845, , 
         -1.6,    0.08192338, ,          -2.1,   0.001456887, ,          -1.6,    0.03909515, ,          -1.7,     0.1014687, , 
         -1.5,    0.09441681, ,            -2,    0.01367074, ,          -1.5,    0.05050485, ,          -1.6,     0.1126837, , 
         -1.4,     0.1069476, ,          -1.9,    0.02601676, ,          -1.4,     0.0618262, ,          -1.5,      0.123837, , 
         -1.3,       0.11956, ,          -1.8,    0.03836464, ,          -1.3,    0.07295222, ,          -1.4,     0.1354136, , 
         -1.2,     0.1321258, ,          -1.7,    0.05059607, ,          -1.2,    0.08460834, ,          -1.2,     0.1582156, , 
         -1.1,     0.1446885, ,          -1.6,    0.06300157, ,          -1.1,    0.09543719, ,          -1.1,     0.1694107, , 
         -0.9,     0.1700427, ,          -1.5,    0.07536755, ,          -0.9,     0.1179596, ,            -1,     0.1809381, , 
         -0.8,     0.1829915, ,          -1.4,    0.08759587, ,          -0.7,     0.1403774, ,          -0.9,     0.1924011, , 
         -0.7,     0.1955753, ,          -1.3,    0.09994256, ,          -0.5,     0.1628297, ,          -0.8,     0.2034174, , 
         -0.6,     0.2084826, ,          -1.1,     0.1246326, ,          -0.4,     0.1743927, ,          -0.7,     0.2146874, , 
         -0.5,     0.2209023, ,            -1,      0.137084, ,          -0.3,     0.1855131, ,          -0.6,     0.2262062, , 
         -0.4,     0.2333419, ,          -0.9,      0.149426, ,          -0.2,     0.1970045, ,          -0.5,     0.2371697, , 
         -0.3,     0.2459595, ,          -0.8,     0.1616498, ,          -0.1,     0.2084921, ,          -0.4,     0.2486435, , 
         -0.2,     0.2587247, ,          -0.7,     0.1739736, ,             0,     0.2197008, ,          -0.3,     0.2602946, , 
         -0.1,     0.2712899, ,          -0.6,     0.1863265, ,           0.1,     0.2312114, ,          -0.2,     0.2716724, , 
            0,     0.2841424, ,          -0.5,     0.1985199, ,           0.2,     0.2425099, ,          -0.1,     0.2827121, , 
          0.1,      0.296501, ,          -0.4,     0.2106963, ,           0.3,     0.2539111, ,             0,     0.2937769, , 
          0.2,     0.3090618, ,          -0.3,     0.2228707, ,           0.4,     0.2656549, ,           0.2,     0.3164038, , 
          0.3,     0.3217144, ,          -0.2,      0.235062, ,           0.5,     0.2768556, ,           0.4,      0.338909, , 
          0.4,     0.3341525, ,          -0.1,     0.2473003, ,           0.6,     0.2883961, ,           0.5,     0.3504028, , 
          0.5,     0.3468652, ,             0,     0.2595768, ,           0.7,     0.2998841, ,           0.6,     0.3615055, , 
